Part Num,Gender,Age,SES,Reside,Student,UCLATOT,SRP-IIITOT,SRPIII-IPM,SRPIII-CA,SRPIII-ELS,SANUTOT,N4UTOT,N4U-1,N4U-2,N4U-3,DBTOT,ABSTAIN,Property,Vandalism,Violent,Serious Delinquency
57,2,19,5,1,1,57,2.791666667,3.1875,3.125,2.0625,7,85,48,26,11,4,0,1,0,0,0
58,2,44,4,1,2,67,3.083333333,3.4375,2.9375,2.875,17,110,48,40,22,2,1,1,0,0,0
59,2,23,1,2,1,57,2.5,2.875,2.1875,2.4375,14,100,48,32,20,0,1,0,0,0,0
60,1,22,2,2,1,65,2.416666667,2.375,2.6875,2.1875,10,70,31,24,15,3,0,2,0,0,0
61,1,22,2,1,2,71,4.020833333,4.25,4.1875,3.625,10,123,66,33,24,4,0,0,1,2,0
62,2,27,3,1,2,70,2.958333333,3.375,2.4375,3.0625,12,112,53,37,22,4,0,2,0,0,0
63,2,25,1,1,1,38,1.916666667,2.4375,1.1875,2.125,9,92,52,18,22,3,0,2,0,0,0
64,2,18,2,1,1,48,2.645833333,2.3125,2.5625,3.0625,8,86,40,32,14,3,0,1,0,0,0
65,1,23,3,1,1,33,2.020833333,1.4375,2.4375,2.1875,8,109,60,31,18,1,1,0,0,0,0
66,1,35,2,1,2,57,2.229166667,2.3125,2.1875,2.1875,14,125,62,38,25,0,1,0,0,0,0
67,1,20,4,2,1,49,3.104166667,3.375,3,2.9375,10,106,51,38,17,2,0,1,0,0,0
68,2,56,1,1,2,78,2.125,1.8125,2.0625,2.5,10,84,30,33,21,0,1,0,0,0,0
69,1,42,1,1,2,61,2.9375,3.0625,2.375,3.375,14,116,57,39,20,1,0,1,0,0,0
70,2,35,7,1,1,54,1.770833333,1.5625,1.75,2,12,86,42,28,16,2,0,1,0,0,0
71,2,45,4,1,2,60,2.083333333,2.25,2.25,1.75,14,89,32,35,22,0,1,0,0,0,0
72,2,35,7,1,2,66,2.208333333,2.0625,1.9375,2.625,10,81,41,25,15,3,0,0,0,0,0
73,1,37,3,1,2,65,2.208333333,2.1875,2.5,1.9375,9,105,54,33,18,2,0,1,1,0,0
74,2,45,2,1,1,56,2.520833333,2.4375,2.3125,2.8125,5,105,52,35,18,11,0,5,1,1,0
75,2,40,4,1,2,74,2.4375,2.375,2.375,2.5625,9,88,48,27,13,1,1,0,0,0,0
76,1,45,1,1,1,54,2.541666667,3,2.1875,2.4375,12,109,65,25,19,5,0,3,0,0,0
77,2,36,2,1,1,55,2.916666667,3.3125,2.9375,2.5,13,98,47,29,22,2,1,0,1,1,1
78,2,25,4,1,2,69,1.875,1.5,1.5625,2.5625,4,75,34,35,6,5,0,2,0,0,0
79,2,61,2,1,2,54,1.75,1.25,1.5,2.5,12,85,41,26,18,0,1,0,0,0,0
80,2,45,3,1,2,34,2.020833333,1,1.8125,3.25,13,122,68,35,19,3,1,1,0,0,0
81,2,26,5,1,1,74,2.958333333,2.75,2.625,3.5,7,73,33,32,8,7,0,3,2,1,0
82,2,59,4,1,2,48,2.3125,2.1875,2.625,2.125,9,94,47,28,19,2,1,2,0,0,0
83,1,66,3,1,2,37,2.166666667,2.375,2.0625,2.0625,12,122,55,45,22,4,0,2,1,0,0
84,2,27,2,2,2,58,2.479166667,2.625,2.875,1.9375,9,91,46,30,15,0,1,0,0,0,0
85,2,22,4,1,1,50,3.020833333,3.125,2.625,3.3125,16,112,53,43,16,7,0,3,1,0,0
86,1,41,5,1,2,64,2.125,2.0625,2.1875,2.125,8,95,44,31,20,0,1,0,0,0,0
87,2,50,1,1,2,60,1.791666667,2.125,1.6875,1.5625,8,101,47,31,23,0,1,0,0,0,0
88,2,45,2,1,2,47,1.875,2,1.6875,1.9375,7,82,41,24,17,1,1,0,0,0,0
89,1,55,4,1,2,48,2.333333333,2.25,2,2.75,16,93,43,37,13,1,0,0,0,0,0
90,2,27,6,1,1,43,2.375,2.0625,1.9375,3.125,8,112,60,33,19,4,0,2,0,0,0
91,2,21,5,1,1,37,1.8125,2,2,1.4375,13,83,42,29,12,0,1,0,0,0,0
92,2,21,2,1,2,67,2.25,2.375,2.125,2.25,12,68,25,32,11,6,0,3,0,1,0
93,2,18,2,2,1,46,2.645833333,2.9375,2.75,2.25,9,102,48,36,18,0,1,0,0,0,0
94,1,27,7,1,2,63,3.229166667,3.625,3.5625,2.5,10,126,56,45,25,7,0,3,1,2,0
95,1,18,2,2,1,62,2.083333333,1.8125,1.75,2.6875,9,103,45,39,19,1,0,1,0,0,0
96,1,26,1,2,2,53,2.354166667,2.8125,2.125,2.125,8,89,37,42,10,2,0,1,1,0,0
97,1,20,2,2,1,55,2.541666667,2.3125,1.9375,3.375,14,117,54,43,20,7,0,1,2,1,0
98,1,27,4,2,2,46,2.541666667,1.875,2.9375,2.8125,11,90,35,40,15,4,0,1,1,1,0
99,1,47,3,1,2,55,2.666666667,2.375,3,2.625,6,117,59,34,24,0,1,0,0,0,0
100,2,27,2,1,2,45,1.979166667,1.9375,1.3125,2.6875,10,97,51,25,21,4,1,0,1,0,0
101,2,44,5,1,1,76,1.375,1.875,1.0625,1.1875,6,84,55,22,7,0,1,0,0,0,0
102,2,32,6,1,1,77,2.1875,1.5,1.9375,3.125,16,90,44,40,6,5,1,2,1,0,0
103,2,23,2,1,1,56,2.270833333,2.3125,2.0625,2.4375,12,69,28,29,12,0,1,0,0,0,0
104,2,51,4,1,2,34,2.145833333,1.875,1.3125,3.25,9,103,51,37,15,5,0,2,0,0,0
105,1,19,4,1,1,42,1.958333333,1.8125,1.875,2.1875,6,82,44,22,16,1,1,0,0,0,0
106,2,36,7,1,2,55,2.854166667,2.8125,3.125,2.625,9,96,48,31,17,4,1,1,0,0,0
107,1,62,5,1,2,48,2.229166667,2.3125,2.125,2.25,10,92,52,22,18,1,0,0,1,0,0
108,2,41,3,1,1,63,2.4375,2.25,2.5625,2.5,9,88,47,20,21,3,0,3,0,0,0
109,2,68,4,1,2,42,1.5625,1.75,1.375,1.5625,9,90,39,33,18,1,0,1,0,0,0
110,2,37,6,1,2,39,2.3125,2.125,2.0625,2.75,9,97,51,26,20,4,0,2,0,0,0
111,2,52,4,1,2,77,1.708333333,1.375,1.375,2.375,7,107,53,33,21,1,0,0,0,0,0
112,2,49,5,1,2,39,2.041666667,1.8125,1.9375,2.375,7,105,55,34,16,5,0,1,1,0,0
113,2,63,3,1,2,33,3.041666667,2.875,2.8125,3.4375,17,136,61,47,28,6,0,1,1,0,0
114,2,54,3,1,1,49,2.479166667,2,2.1875,3.25,11,126,59,44,23,0,1,0,0,0,0
115,3,37,4,1,2,40,2.208333333,1.75,2.1875,2.6875,11,112,64,29,19,0,0,0,0,0,0
116,2,20,2,1,1,58,2.395833333,2.375,2.625,2.1875,14,111,53,37,21,0,1,0,0,0,0
117,2,69,2,1,2,59,1.5625,1.4375,1.625,1.625,6,103,55,26,22,0,1,0,0,0,0
118,2,48,6,1,2,24,2.020833333,1.875,1.5,2.6875,11,125,66,34,25,5,0,2,1,0,0
119,1,23,1,1,2,69,2.25,1.9375,2.5,2.3125,8,103,40,37,26,0,1,0,0,0,0
120,2,42,4,1,2,54,1.645833333,1.125,1.5625,2.25,9,103,59,25,19,3,0,0,2,0,0
121,2,19,4,2,1,67,2.75,3.0625,2.75,2.4375,6,99,41,35,23,2,0,0,0,1,0
122,2,18,4,1,1,57,2.541666667,2.1875,3.0625,2.375,13,90,37,36,17,0,1,0,0,0,0
123,2,25,2,2,2,36,2.104166667,2,1.875,2.4375,8,90,39,36,15,4,1,1,0,0,0
124,1,33,4,1,2,47,2.354166667,2.25,2.3125,2.5,10,92,45,30,17,2,1,0,1,0,0
125,2,33,3,2,2,57,2.229166667,2.5,2,2.1875,10,79,36,31,12,2,0,0,0,0,0
126,2,25,1,1,1,57,2.729166667,2.9375,2.6875,2.5625,18,115,57,34,24,3,0,1,0,0,0
127,2,38,5,1,2,38,1.916666667,1.8125,1.6875,2.25,10,82,41,26,15,0,1,0,0,0,0
128,1,25,3,2,2,65,2.229166667,2.25,2.625,1.8125,13,87,37,35,15,0,1,0,0,0,0
129,2,18,5,1,1,38,3.041666667,2.9375,3.125,3.0625,17,114,54,37,23,3,0,1,2,0,0
130,2,23,3,1,1,61,2.9375,2.875,3.0625,2.875,4,92,36,30,26,4,1,1,0,0,0
131,1,24,3,2,1,73,2.104166667,3,1.9375,1.375,11,105,45,38,22,1,1,1,0,0,0
132,2,55,4,2,2,80,2.583333333,2.4375,2.5625,2.75,11,123,59,47,17,6,0,1,0,1,1
133,1,40,1,2,2,41,3.416666667,3.5625,3.0625,3.625,17,146,66,51,29,8,0,4,2,1,0
134,2,18,2,1,1,43,1.770833333,2.1875,1.625,1.5,4,63,28,27,8,0,1,0,0,0,0
135,1,64,1,1,2,42,2.333333333,2.4375,2.125,2.4375,11,106,51,36,19,3,0,1,0,0,0
136,2,30,5,2,2,55,2.25,1.9375,2.5625,2.25,8,99,47,38,14,0,1,0,0,0,0
137,2,24,1,2,1,32,2.395833333,2.125,2.1875,2.875,16,115,55,41,19,0,1,0,0,0,0
138,1,24,4,1,2,65,2.270833333,2,2.3125,2.5,16,81,42,33,6,0,1,0,0,0,0
139,2,22,2,1,2,44,2.020833333,2.25,2.0625,1.75,10,77,31,33,13,0,1,0,0,0,0
140,1,27,3,2,2,54,2.604166667,2.75,2.5,2.5625,9,97,45,33,19,0,0,0,0,0,0
141,1,55,2,2,2,70,2.145833333,2.25,1.875,2.3125,14,117,53,39,25,4,0,2,0,0,0
142,2,33,2,2,2,64,2.6875,2.875,2.875,2.3125,7,81,38,36,7,6,0,4,2,0,0
143,2,29,3,1,1,62,2.416666667,1.8125,1.9375,3.5,13,112,57,33,22,3,0,1,0,0,0
144,1,34,2,2,2,46,1.791666667,2.25,1.5,1.625,12,99,45,38,16,3,0,2,0,0,0
145,1,18,2,1,1,42,2.395833333,2.3125,1.8125,3.0625,5,66,31,25,10,1,0,0,0,0,0
146,2,46,2,1,1,52,1.854166667,1.375,2,2.1875,8,87,44,25,18,1,1,0,0,0,0
147,2,33,7,1,1,49,2.145833333,1.5625,2.0625,2.8125,5,80,32,28,20,1,0,0,0,0,0
148,2,24,2,1,2,27,3.291666667,3.625,2.375,3.875,14,108,51,33,24,18,0,6,3,3,3
149,2,46,2,1,1,29,2.9375,3.3125,2.75,2.75,11,107,55,31,21,5,1,0,1,1,0
150,1,52,2,1,2,57,2.354166667,2.1875,2,2.875,12,105,51,36,18,0,1,0,0,0,0
151,1,22,4,2,1,75,2.604166667,2.5625,2.75,2.5,4,86,38,29,19,3,0,3,0,0,0
152,1,57,4,1,2,55,3.020833333,2.9375,2.875,3.25,15,138,63,48,27,13,0,6,1,0,1
153,1,49,4,1,2,80,1.8125,1.75,1.5,2.1875,12,79,36,29,14,0,0,0,0,0,0
154,1,48,2,1,1,57,3.104166667,2.875,3,3.4375,16,116,52,42,22,0,0,0,0,0,0
155,2,19,2,1,1,64,2.0625,2.0625,1.3125,2.8125,9,85,41,28,16,4,0,1,0,0,1
156,2,25,1,1,1,59,2.916666667,2.8125,3,2.9375,13,99,44,32,23,11,0,5,1,1,2
157,2,21,1,1,1,48,2.958333333,3.125,2.8125,2.9375,11,104,41,38,25,1,0,0,0,0,0
158,1,20,2,1,1,38,2.666666667,2.9375,2.375,2.6875,14,97,50,28,19,3,0,0,0,0,0
159,2,21,5,1,1,48,2.416666667,2.3125,2.0625,2.875,17,103,46,33,24,6,0,2,0,2,0
160,2,31,5,1,1,52,3.020833333,2.75,2.8125,3.5,16,130,68,40,22,7,0,2,0,4,2
161,1,20,2,1,1,39,2.708333333,2.6875,2.625,2.8125,14,97,46,34,17,3,0,0,0,0,0
162,1,27,2,1,1,44,2.6875,2.625,2.4375,3,7,98,43,33,22,8,0,3,2,0,0
163,2,19,1,1,1,58,2.125,2.0625,2,2.3125,8,96,49,30,17,1,0,1,0,0,0
164,2,19,2,1,1,32,1.520833333,1.3125,1.6875,1.5625,13,87,49,23,15,0,1,0,0,0,0
165,2,19,2,1,1,48,1.875,2.375,1.75,1.5,8,82,41,26,15,0,1,0,0,0,0
166,2,19,5,1,1,30,2.208333333,2.5,1.8125,2.3125,10,91,48,26,17,0,1,0,0,0,0
167,2,40,2,1,1,60,2.104166667,1.9375,2.0625,2.3125,12,94,46,35,13,6,0,3,1,0,0
168,2,18,1,1,1,65,1.75,1.5,1.625,2.125,14,101,49,31,21,0,1,0,0,0,0
169,2,20,1,1,1,52,1.791666667,1.6875,1.125,2.5625,12,94,47,33,14,0,1,0,0,0,0
170,2,41,5,1,1,57,2.5625,2.3125,2.125,3.25,12,85,42,28,15,3,1,1,0,0,0
171,1,19,5,1,1,41,2.416666667,2.5,2.3125,2.4375,16,85,43,28,14,3,1,2,0,0,0
172,1,19,2,1,1,50,3.166666667,3.1875,2.9375,3.375,13,106,45,38,23,10,0,6,0,2,1
173,2,20,1,1,1,31,2.25,1.6875,2.4375,2.625,14,100,65,23,12,2,0,0,0,1,0
